raw_character_text,normalized_text
Bart Simpson,well you got that right thanks for your vote girls
Bart Simpson,well dont sweat it just so long as a couple of people did right milhouse
Homer Simpson,never thrown a party what about that big bash we had with all the champagne and musicians and holy men and everything
Homer Simpson,bart didnt get one vote oh this is the worst thing that ever happened to us alright allright spilled milk spilled milk spilled milk what are you so mopey about
Homer Simpson,hey just because i dont care doesnt mean i dont understand
Bart Simpson,whoa somebody was bound to say it one day i just cant believe it was her
Homer Simpson,did you hear that marge she called me a baboon the stupidest ugliest smelliest ape of them all
Marge Simpson,homer you are not allowed to have hurt feelings right now theres a little girl upstairs who needs you her confidence in her father is shaken and no little girl can be happy unless she has faith in her daddy
Homer Simpson,lisa dont hold anything back you can tell me are you crying because you called daddy a baboon
Homer Simpson,no no no i just wish i knew what to say
Homer Simpson,although maybe this will help now you lost someone special and it hurts im lucky because i never lost anyone special to me everyone special to me is under this roof
Homer Simpson,its true now youll have lots of special people in your life lisa theres probably some place where they all get together and the food is real good and guys like me are serving drinks oh well maybe i cant explain all this but i can fix your doll house for you at least im good at monkey work you know monkey you know what i mean
Homer Simpson,i can hold these nails in place with my tail
Bart Simpson,ah dad if just me milhouse and lewis had voted
Homer Simpson,hey son would you have gotten any money for being class president
Homer Simpson,and is this martin guy going to get to do anything neat like throw out the first ball at the world series huh
Homer Simpson,so let the baby have his bottle huh thats my motto
Homer Simpson,up up up up up up dont say anything marge lets just go to bed im on the biggest roll of my life
Marge Simpson,homer please weve never thrown a party now were gonna pay back all the friends whove invited us to their homes
Homer Simpson,hey flanders next time why dont you put a little alcohol in it
Homer Simpson,really well i do have a warm sense of well-being and i seem to be ssslurring my shpeech youre right give me another
Marge Simpson,now homer go easy on the al-ky-hol remember last year at the winfields party when you threw up in the laundry hamper
Homer Simpson,you should see the look on your face its priceless
Homer Simpson,hey everybody look im the funniest guy in the world
Homer Simpson,ive been wantin to tell you off for years but ive never had the nerve
Homer Simpson,you stink you and your whole lousy operation stinks i quit
Marge Simpson,hmmm thank you i will dr hibbert thanks for coming
Marge Simpson,i want to make sure the kids dont hear when i was young i always hated knowing my parents were fighting
Marge Simpson,homer do you remember the way you acted at the party last night
Homer Simpson,so i said i must get out of these wet clothes and into a dry martini
Marge Simpson,homer i like to think that im a patient tolerant woman and that there was no line you could cross that could make me stop loving you but last night you didnt just cross that line you threw up on it
Homer Simpson,im sorry honey cant we just forget it and go to church
Marge Simpson,im going to church alone today youre going to stay here and explain to bart why you scarred him for life
Homer Simpson,no i didnt i oh you mean inside dont you
Homer Simpson,about last night you might have noticed daddy acting a little strange and you probably dont understand why
Homer Simpson,i admit it i didnt know when to say when im sorry it happened and i just hope you didnt lose a lot of respect for me
Bart Simpson,dad i have as much respect for you as i ever did or ever will
Homer Simpson,theyre holding it at catfish lake they couldnt call it catfish lake if it didnt have a catfish in it
Marge Simpson,were going to this retreat to give our marriage a tune-up and thats all no fishing
Marge Simpson,oh my where are we supposed to get a sitter on such short notice
Homer Simpson,oh dear if we cant find a babysitter we cant go what a kick in the teeth
Bart Simpson,what do you need a babysitter for im almost ten and a half
Bart Simpson,dont take that tone with me young lady or ill give you a taste of the back of me hand
Marge Simpson,well i was wondering do you think you could babysit the kids this weekend i wouldnt ask except im desperate
Homer Simpson,marge just puttin a few last things in the trunk
Marge Simpson,now if maggie runs a fever you call this number if she sticks her finger in an electrical socket call this number and if she drinks pine cleanser call this
Bart Simpson,grampa mom was in such a hurry she forgot to give you this its a list of the things lisa and i can and cant do
Homer Simpson,fill er up i guess ill go and stretch my legs
Homer Simpson,wait wait a minute wait a minute whos general sherman
Bart Simpson,after the supermarket well go to the video store grab a krusty burger and head for the arcade
Bart Simpson,lis in these crazy topsy-turvy times whos to say whats right or wrong but right now my guts telling me bleed gramps dry
Marge Simpson,hello reverend were glad we could come oh hello helen
Homer Simpson,uh say uh reverend are we gonna get a chance to do any fishing
Homer Simpson,ohhh because i got drunk and looked down her dress
Marge Simpson,well its not that i dont love the guy im always sticking up for him its just that hes so self-centered
Marge Simpson,he forgets birthdays anniversaries holidays -- both religious and secular -- he chews with his mouth open he gambles he hangs out at a seedy bar with bums and lowlifes
Marge Simpson,he blows his nose on the towels and puts them back in the middle
Marge Simpson,he drinks out of the carton he never changes the baby when he goes to sleep he makes chewing noises and when he wakes up he makes honking noises oh oh and he scratches himself with his keys i guess thats it oh no wait he kicks me in his sleep and his toenails are too long and yellow thats all i can think of right now i guess youre all tired and i want to thank you for letting me get some things off my chest
Bart Simpson,yeah you should go to bed grampa weve had a big day
Homer Simpson,out at five catch general sherman at five-thirty clean him at six eat him at six-thirty back in bed by seven with no incriminating evidence the perfect crime
Marge Simpson,homer youre sneaking out to go fishing i cant believe your selfishness you can go fishing anytime but were here trying to save our marriage youre thinking about fishing even when im talking right now right
Homer Simpson,youre right i am help me marge what do i do to be a good guy
Homer Simpson,all right but i cant sleep can i take a walk
Homer Simpson,gotta be a good husband gotta be a good husband gotta be a good husband
Homer Simpson,go ahead general sherman waste your strength you big ugly catfish i gotta skillet and a stick of butter with your name on it
Bart Simpson,hey milhouse big blowout at casa de simpson the only adult is frail and old
Homer Simpson,okay fish youre probably wondering why im still here catching you will make me the most famous fisherman there is right up there with that the a bald guy on that cable fishing show
Bart Simpson,yeah take care man hey thanks for coming hey nice tie nelson
Bart Simpson,lisa i have this strong unpleasant feeling ive never had before
Homer Simpson,i am the champions i am the champions no time for losers cause i am the champions of the worlllld
Marge Simpson,we came to this retreat because i thought our marriage was in trouble but i never for a minute thought it was in this much trouble homer how can you expect me to believe
Homer Simpson,marge you dont know what this fish means this fish represents a better life for both of us this fish makes me a champion and a hero
Marge Simpson,all this fish represents is just how selfish you are
Homer Simpson,well if thats the way you feel ill throw it back
Homer Simpson,wow i did it i gave up fame and breakfast for my marriage i fought it for six hours she says one word and i toss it back and youre telling me our marriage is in trouble come here baby
Marge Simpson,oh my the house looks wonderful grampa whats your secret
Bart Simpson,wow number nine thats before fallout boy became his ward
Bart Simpson,what do you care about good comics all you ever buy is casper the wimpy ghost
Bart Simpson,well you know what i think i think caspers the ghost of richie rich
Bart Simpson,now radioactive man he rules never punches a bad guy without saying something cool
Bart Simpson,oh yeah look he knocks a guy into the sun and says hot enough for ya
Bart Simpson,ooh ooh ooh ooh over here fallout boy oh oh me me me me me
Bart Simpson,do you think the ghost of dirk richter haunts the bordello where his bullet-riddled body was found
Bart Simpson,but i must until this moment i never knew why god put me on this earth but now i know to buy that comic book
Homer Simpson,i never knew what superman saw in her give me wonder woman and that golden lariat she can tie me up any time
Homer Simpson,i was just kidding marge hey what does everyone say to dinner at krusty burger my treat
Bart Simpson,all right homer whoa you really are a sport dad taking us out to a fine restaurant like krusty burger
Homer Simpson,a hundred bucks for a comic book who drew it micha-ma-langelo
Bart Simpson,oh please dad i want this more than anything in the world
Homer Simpson,no now look son we all know that usually when you bug me like this i give in so im not mad at you for trying it shows youve been paying attention but we all know im not gonna give you a hundred dollars now are you gonna stop bugging me
Homer Simpson,hee hee i win in your face yeah how do you like them apples woo hoo hoo
